time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,windspeed_10m_max
2016-04-01,26.3,4.0,82,6.8
2016-04-02,25.7,1.6,83,10.3
2016-04-03,26.1,0.6,82,12.7
2016-04-04,26.2,2.7,82,9.7
2016-04-05,25.5,0.5,80,12.6
2016-04-06,25.7,0.0,75,12.4
2016-04-07,25.9,0.0,77,11.2
2016-04-08,26.6,0.0,77,11.5
2016-04-09,25.8,0.0,80,12.3
2016-04-10,26.3,0.0,76,14.8
2016-04-11,26.3,0.0,78,16.7
2016-04-12,25.9,0.6,82,11.3
2016-04-13,25.8,0.5,82,11.6
2016-04-14,26.4,0.0,78,13.7
2016-04-15,26.5,0.0,78,15.0
2016-04-16,26.1,0.0,79,14.6
2016-04-17,25.5,1.2,85,12.5
2016-04-18,25.8,1.3,82,12.6
2016-04-19,25.4,1.2,83,12.5
2016-04-20,25.9,0.1,80,13.2
2016-04-21,26.1,0.1,81,14.2
2016-04-22,26.0,0.7,80,14.1
2016-04-23,26.1,0.0,74,15.3
2016-04-24,25.7,0.0,74,16.6
2016-04-25,26.2,0.0,73,15.9
2016-04-26,26.5,0.0,73,16.9
2016-04-27,27.1,0.0,71,17.6
2016-04-28,24.2,2.2,77,16.5
2016-04-29,22.0,11.9,81,17.9
2016-04-30,23.1,0.4,79,7.4
2016-05-01,21.7,2.8,76,18.8
2016-05-02,22.0,0.0,67,13.5
2016-05-03,22.2,0.0,79,12.7
2016-05-04,23.2,0.0,82,9.0
2016-05-05,23.3,0.0,78,14.7
2016-05-06,23.4,0.3,78,10.0
2016-05-07,24.2,1.9,79,12.6
2016-05-08,24.5,0.2,78,13.9
2016-05-09,24.9,0.0,77,11.4
2016-05-10,25.4,0.0,74,14.3
2016-05-11,25.0,0.0,76,14.2
2016-05-12,24.5,0.0,75,13.8
2016-05-13,23.2,2.1,78,17.4
2016-05-14,22.0,0.0,78,16.1
2016-05-15,22.2,0.6,77,11.7
2016-05-16,24.5,0.0,71,17.8
2016-05-17,25.1,0.0,76,11.5
2016-05-18,24.2,0.6,85,11.2
2016-05-19,23.5,0.9,85,13.0
2016-05-20,23.3,1.8,87,11.2
2016-05-21,24.2,1.3,84,7.2
2016-05-22,25.1,0.2,81,12.6
2016-05-23,25.0,1.6,78,19.1
2016-05-24,21.8,0.2,71,19.7
2016-05-25,21.4,1.6,77,16.7
2016-05-26,21.4,0.0,72,11.2
2016-05-27,21.2,0.0,76,12.4
2016-05-28,22.2,0.0,79,10.8
2016-05-29,23.2,0.8,83,10.0
2016-05-30,24.3,0.0,80,9.1
2016-05-31,23.9,0.9,83,8.6
2016-06-01,24.5,10.6,81,8.5
2016-06-02,24.8,0.0,78,10.0
2016-06-03,23.8,1.8,84,9.2
2016-06-04,24.8,0.0,86,8.1
2016-06-05,25.3,0.0,82,12.9
2016-06-06,26.3,0.0,77,9.5
2016-06-07,24.1,0.0,81,12.7
2016-06-08,22.1,4.0,81,15.5
2016-06-09,19.9,6.9,83,12.4
2016-06-10,20.2,0.1,76,9.8
2016-06-11,20.0,0.5,76,13.8
2016-06-12,18.6,3.7,78,10.4
2016-06-13,18.8,0.4,68,18.0
2016-06-14,19.2,0.0,70,15.3
2016-06-15,19.1,0.0,71,12.0
2016-06-16,19.1,0.0,75,10.5
2016-06-17,19.8,0.0,77,9.9
2016-06-18,20.9,0.0,76,9.1
2016-06-19,20.3,0.0,85,10.4
2016-06-20,21.0,1.1,86,10.2
2016-06-21,20.8,1.8,82,13.1
2016-06-22,20.2,5.1,89,11.2
2016-06-23,21.6,0.0,84,6.4
2016-06-24,21.0,0.1,83,15.1
2016-06-25,20.3,3.0,81,15.6
2016-06-26,20.4,0.7,77,13.1
2016-06-27,20.4,6.4,86,12.0
2016-06-28,21.2,4.8,80,9.9
2016-06-29,20.7,0.2,86,9.0
2016-06-30,21.4,0.9,89,8.1
