time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,relative_humidity_2m_mean,windspeed_10m_max
4/1/2016,29.8,23.5,26.3,4,4,82,6.8
4/2/2016,28.4,23.3,25.7,1.6,1.6,83,10.3
4/3/2016,28.8,23.6,26.1,0.6,0.6,82,12.7
4/4/2016,29.1,23.9,26.2,2.7,2.7,82,9.7
4/5/2016,27.4,23.5,25.5,0.5,0.5,80,12.6
4/6/2016,28.3,22.7,25.7,0,0,75,12.4
4/7/2016,28.9,22.3,25.9,0,0,77,11.2
4/8/2016,30.8,23.3,26.6,0,0,77,11.5
4/9/2016,29.7,22.4,25.8,0,0,80,12.3
4/10/2016,30.8,23,26.3,0,0,76,14.8
4/11/2016,29.5,23.4,26.3,0,0,78,16.7
4/12/2016,28.4,23.2,25.9,0.6,0.6,82,11.3
4/13/2016,28.5,23.5,25.8,0.5,0.5,82,11.6
4/14/2016,29.9,23.6,26.4,0,0,78,13.7
4/15/2016,30.5,23.6,26.5,0,0,78,15
4/16/2016,29.5,23.1,26.1,0,0,79,14.6
4/17/2016,27.9,23.3,25.5,1.2,1.2,85,12.5
4/18/2016,28.4,23.4,25.8,1.3,1.3,82,12.6
4/19/2016,27.6,23.1,25.4,1.2,1.2,83,12.5
4/20/2016,28.5,23.5,25.9,0.1,0.1,80,13.2
4/21/2016,28.5,24.3,26.1,0.1,0.1,81,14.2
4/22/2016,28.7,23.8,26,0.7,0.7,80,14.1
4/23/2016,29.6,23.6,26.1,0,0,74,15.3
4/24/2016,29.8,22.4,25.7,0,0,74,16.6
4/25/2016,30.4,23.3,26.2,0,0,73,15.9
4/26/2016,31.2,23.6,26.5,0,0,73,16.9
4/27/2016,31.9,23.7,27.1,0,0,71,17.6
4/28/2016,26.2,22.4,24.2,2.2,2.2,77,16.5
4/29/2016,23.4,20.8,22,11.9,11.9,81,17.9
4/30/2016,25.5,20.9,23.1,0.4,0.4,79,7.4
5/1/2016,22.5,20.7,21.7,2.8,2.8,76,18.8
5/2/2016,24.4,20,22,0,0,67,13.5
5/3/2016,24.9,19.9,22.2,0,0,79,12.7
5/4/2016,26.2,20.5,23.2,0,0,82,9
5/5/2016,26.3,21,23.3,0,0,78,14.7
5/6/2016,25.5,21.5,23.4,0.3,0.3,78,10
5/7/2016,27.8,21.6,24.2,1.9,1.9,79,12.6
5/8/2016,27.6,22.1,24.5,0.2,0.2,78,13.9
5/9/2016,28.5,22.1,24.9,0,0,77,11.4
5/10/2016,30.1,22.1,25.4,0,0,74,14.3
5/11/2016,29.4,22.3,25,0,0,76,14.2
5/12/2016,27.2,22.4,24.5,0,0,75,13.8
5/13/2016,25.4,21.9,23.2,2.1,2.1,78,17.4
5/14/2016,23.4,20.9,22,0,0,78,16.1
